r rho u P M
0.00010558725881217215 405649092.13023573 924.8257581072479 133555779391.86253 0.0020002011060897976
0.0001343236440899622 399217846.32389736 921.4292691898197 130949072746.06056 0.004084518889602736
0.00015892607744993285 393394285.35653305 918.3214821655663 128607977955.23087 0.006705409748673027
0.00018217166125937922 387270227.9460853 915.0097557752485 126141916224.86871 0.010001005530416527
0.00021865690172425618 378002773.531355 909.9277373511666 122441713801.6012 0.01698135533227701
0.00025025937090539235 366875380.70603794 903.6961839398336 118022765838.4765 0.025002513826045954
0.00026685579716576274 358530062.49244696 898.9280796676969 114731700972.25633 0.03000301659125422
0.0002888664648738849 351058273.12169576 894.5845926655805 111799180245.52063 0.03750377073906661
0.00030838222557892935 342850367.66856587 889.7303575821646 108595600938.63725 0.04500452488688365
0.0003260713634050418 335224813.52733016 885.1399655606822 105636017028.39375 0.05250527903469605
0.00034235662797070553 328068899.5950036 880.7594559330449 102873737919.46884 0.06000603318250844
0.0003699345417741533 318367222.3564591 874.6977405038547 99150512392.70235 0.07400744092508602
0.0003947642211680954 306843795.0687894 867.3105544983126 94764083278.2344 0.08800884866767286
0.0004175615399070123 296185371.24218094 860.2830232901044 90741716320.0105 0.10201025641019942
0.000438789394040035 286235330.29959494 853.5431199755408 87017455998.71214 0.11601166415265643
0.0004587665137702601 276881685.38078266 847.0381322279898 83544275847.55663 0.13001307189505315
0.0004777228659198829 268041498.9904829 840.7310260652655 80287090698.74638 0.14401447963740352
0.000495830531445225 259650842.23628524 834.593512246642 77218800287.27437 0.15801588737970748
0.0005132220878752206 251659164.11837313 828.6034530474471 74317890450.70515 0.17201729512198363
0.0005300021684707977 244025371.68703508 822.7432363085279 71566897780.9502 0.1860187028642227
0.0005462550270444575 236715625.18141383 816.9980701479703 68951385824.83067 0.20002011060642466
0.0005620496718623644 229701704.04916066 811.356199846587 66459235404.90485 0.2140215183485988
0.0005774434979302375 222959192.76180336 805.8081891887775 64080136231.195946 0.2280229260907544
0.0005924848336114094 216467640.0591315 800.3442934007713 61805217730.84373 0.24202433383286825
0.0006072148693039001 210208902.89783475 794.9599057259788 59626773484.75928 0.2560257415749543
0.0006216690548115858 204167425.81316537 789.6473868941857 57538048626.2668 0.27002714931700783
0.0006358782051818019 198329176.16379204 784.4023894617253 55533077019.52725 0.2840285570590243
0.0006498693464513825 192681551.7279318 779.2213812834931 53606557967.95089 0.2980299648009944
0.0006636662695011751 187214684.85876274 774.1005920622969 51753743135.59676 0.31203137254292745
0.0006772902205745644 181917483.27207768 769.0355923948633 49970355888.7181 0.3260327802848326
