r rho u P M
7343593.850386573 2398246881.812914 1.7651587434953065e+18 1.507057828713261e+27 3.9784000000126076e+30
9342209.446456872 2360224572.6288185 1.7586760714273774e+18 1.47764346959228e+27 8.124108071419843e+30
11053308.68664283 2325794970.290291 1.7527444271249853e+18 1.4512263033090612e+27 1.3337059990110651e+31
12670039.040589824 2289588796.3493557 1.7464235361434266e+18 1.4233989965930563e+27 1.9891999999998474e+31
15207587.514922017 2234798476.1350203 1.7367237962981266e+18 1.3816455131032294e+27 3.3775915755898975e+31
17405539.246470038 2169011973.3084435 1.7248300088542254e+18 1.3317816273707835e+27 4.973000000000541e+31
18559820.692878798 2119673434.724816 1.7157294178811922e+18 1.2946448962309967e+27 5.967600000000465e+31
20090662.631978694 2075499305.1443315 1.7074392680969398e+18 1.2615540158571578e+27 7.45950000000035e+31
21447983.789014537 2026973167.5513396 1.6981742844766636e+18 1.2254044812108379e+27 8.951400000001158e+31
22678263.324820656 1981889961.90363 1.68941288208085e+18 1.1920082169534932e+27 1.0443300000001044e+32
23810903.47536257 1939583326.420729 1.681052069460304e+18 1.160838361368419e+27 1.193520000000093e+32
25728947.38039236 1882225827.93969 1.6694824414556577e+18 1.118825082693933e+27 1.4720079999999609e+32
27455851.582241036 1814097921.0945816 1.6553829682811697e+18 1.0693281431593383e+27 1.7504960000000133e+32
29041405.100532707 1751084020.1562858 1.6419699463701642e+18 1.0239393202873404e+27 2.0289839999988667e+32
30517802.355484433 1692258165.1811032 1.6291059023470354e+18 9.819143648796762e+26 2.3074719999963366e+32
31907211.03272159 1636958276.199903 1.616690227396092e+18 9.427226252098214e+26 2.5859599999926074e+32
33225625.324727856 1584694016.6305146 1.6046522370052634e+18 9.059681964577691e+26 2.864447999987956e+32
34485013.4620154 1535087431.0679948 1.5929379372192812e+18 8.713452763083736e+26 3.142935999982382e+32
35694596.21172159 1487839655.8391972 1.581505075107879e+18 8.3861109663079e+26 3.421423999976255e+32
36861650.81714398 1442707744.4161446 1.5703200354127785e+18 8.075685984434026e+26 3.69991199996939e+32
37992037.130942024 1399491632.007539 1.5593545857675433e+18 7.78054879250482e+26 3.978399999961787e+32
39090554.67802744 1358024475.267774 1.5485862906537316e+18 7.499331849458095e+26 4.2568879999536304e+32
40161195.281048015 1318161926.6162379 1.5379971397398556e+18 7.23087173104545e+26 4.535375999945105e+32
41207320.177673526 1279783075.7095318 1.5275685337681912e+18 6.97416747225174e+26 4.81386399993575e+32
42231794.16008625 1242780658.6639452 1.5172916801022856e+18 6.728349472429789e+26 5.092351999925841e+32
